macd_signal,rsi_signal,stoch_signal,status_signal,adx_signal,output
-1,-0.25,-1.5,-0.39120649589973605,53.81759755513956,0
-1,-0.25,-1.5,-0.5012620621582639,56.31165405000517,-1
-1,-0.25,-1.5,-0.25031397812809686,58.473169678888695,-1
0,-0.25,-1.5,-0.23971647235799579,60.34648322392108,0
0,-0.25,-1.5,-0.39947871733107054,61.97002162961582,0
0,-0.25,-1.5,-0.41701024678568155,63.377088247884586,0
0,-0.25,-1.5,-0.5551927670955044,64.59654598371752,0
1,-0.25,-1.5,-0.43323270272673503,65.65340935477273,0
0,-0.25,-0.7,-0.6472009997356752,66.56935760968724,0
0,-0.25,-0.7,-0.5747681938789014,67.36317943061316,0
0,-0.25,-0.7,-0.4937567184399158,68.05115834208229,0
0,-0.25,-0.7,-0.5055463085078047,68.64740673202219,0
1,-0.25,-0.7,-0.1127488894125663,69.47905260447422,-1
1,-0.25,-0.7,0.057024847099383866,72.1040196293311,-1
1,0.0,0.19999999999999996,0.03857576156549524,74.37899105087374,-1
1,0.0,0.6,0.012852044037958348,76.35063294954402,-1
1,0.0,1.5,0.0546499901234246,78.05938926172493,-1
0,0.0,1.5,-0.03197667722766559,79.54031139894839,-1
0,0.0,1.5,-0.14097069486923602,80.82377725120872,-1
0,0.0,1.5,-0.17671378447753106,81.93611432316767,-1
0,0.0,1.5,-0.1688279495382246,82.9001397855321,-1
0,0.0,1.5,-0.23577091293680444,83.73562851958127,-1
0,0.0,1.5,-0.24485491259322784,84.45971875575722,0
-1,0.0,1.5,-0.355732783899941,85.0872636271097,-1
-1,0.0,1.5,-0.10575665566573518,85.63113584894853,-1
0,0.0,1.5,-0.15669145705175172,86.10249177454217,-1
0,0.0,1.5,-0.3226884177631224,86.51100024339,0
0,0.0,0.39999999999999997,-0.493667642053779,82.61013171884456,0
0,0.0,0.39999999999999997,-0.4786649505690194,79.22937899757184,0
0,0.0,0.10000000000000003,-0.5253698715322248,77.39079177827662,0
0,0.0,-0.6,-0.5645339589188882,76.78544282464655,0
0,0.0,-1.5,-0.7850562021069452,78.36810317427015,0
0,0.0,-1.5,-0.8961286597497807,80.12212401819738,0
-1,0.0,-1.5,-0.905215235220994,81.66861670788502,0
-1,0.0,-1.5,-0.7706193467855125,83.00891037228098,0
-1,0.0,-1.5,-0.6748644558255154,84.17049821475747,0
-1,0.0,-1.5,-0.8064778406233939,85.1772076782371,0
-1,0.0,-1.5,-0.6977515608577214,86.04968921325278,0
0,0.0,-1.5,-0.9397009799425226,86.9749461933294,0
0,0.0,-1.5,-0.8642352873030544,87.7768355760625,0
0,0.0,-1.5,-0.9510517108249714,88.53061054013835,0
0,0.0,-1.5,-0.7373385859789879,89.18388217567076,0
0,0.0,-1.5,-0.6952621964003015,89.75005092646552,0
0,0.0,-1.5,-0.6031096545961233,90.24073051048764,0
0,0.0,-1.5,-0.6782655676710705,90.66598614997348,-1
0,0.0,-1.5,-0.6525938433805339,91.03454103752787,0
0,0.0,-1.5,-0.9999999999999758,91.82178502758093,0
-1,0.0,-1.5,-0.9502844652566622,92.50406315229358,0
-1,0.0,-1.5,-0.9728246565323494,93.09537086037788,-1
-1,0.0,-1.5,-0.9227209925846807,93.60783754071761,-1
