macd_signal,rsi_signal,stoch_signal,status_signal,output
0,0.0,-1.5,-0.38438846003359817,-1
0,0.0,-1.5,-0.21705299613894197,-1
-1,0.0,-1.5,-0.7910221361906441,-1
0,0.0,-1.5,-0.2859704891265462,0
0,0.0,-1.5,0.03200712752048128,-1
0,0.0,-1.5,0.47695426425936094,-1
1,0.0,-1.5,-0.16346130536029244,-1
1,0.0,-1.5,-0.7661815141296011,0
0,0.0,-1.5,-0.505589883287167,0
0,0.0,-1.5,-1.0,-1
0,0.0,-1.5,-0.9999999999999556,-1
0,0.0,-1.5,-1.0,-1
0,0.0,-1.5,-1.0,0
0,0.0,-1.5,-0.9999999999999658,0
0,0.0,-1.5,-1.0,-1
0,0.0,-1.5,-1.0,0
0,-1.5,-1.5,-1.0,0
0,-1.5,-1.5,-1.0,0
0,-1.5,-0.7,-1.0,0
0,-1.5,-0.7,-0.9965285341161281,-1
0,-1.5,-0.7,-0.9878509055308528,-1
0,-1.5,-0.7,-1.0,-1
0,-1.5,-0.7,-1.0,-1
0,-1.5,-0.7,-0.8995571315463148,-1
0,-1.5,-0.7,-0.8932353184092268,-1
0,-1.5,-0.7,-0.7866745816217761,-1
1,-1.5,-1.5,-0.7554450231484393,-1
0,-1.5,-1.5,-0.5956443435746296,-1
0,-1.5,-1.5,-0.41989922563573095,-1
0,-1.5,-1.5,-0.8221909729859194,-1
0,-1.5,-1.5,-0.7805928944444004,-1
0,-1.5,-1.5,-0.5437955407556199,-1
1,-1.5,-1.5,-0.7003642436216372,-1
0,-1.5,-1.5,-0.303791785335389,-1
0,-0.65,-1.5,-0.30408560834435583,-1
0,-0.65,-1.5,-0.251116587020563,-1
0,-0.65,-1.5,-0.3980140481079821,-1
0,-0.65,-1.5,-0.3549252699291032,-1
1,-0.65,-1.5,-0.4398030211353576,-1
1,-0.65,-1.5,-0.8288209861400964,-1
1,-0.65,-1.5,-0.8852139042918811,-1
0,-0.65,-1.5,-0.9445838570165548,-1
0,-0.65,-0.7,-0.8447051417088235,-1
0,-0.65,-0.39999999999999997,-0.9475565572458606,-1
0,-0.65,-0.7,-1.0,0
0,-0.65,-1.5,-0.8809266318272747,-1
0,-0.65,-0.7,-1.0,-1
0,-0.65,-1.5,-0.9999999999999812,-1
0,-0.65,-0.7,-1.0,-1
0,-1.5,-0.7,-1.0000000000000158,0
0,-1.5,-0.7,-1.0,-1
0,-1.5,-0.7,-0.9725861010544519,-1
0,-1.5,-0.7,-1.0000000000000155,-1
0,-1.5,-0.7,-0.8665830498165704,-1
0,-1.5,-0.7,-1.0,-1
0,-1.5,-0.7,-1.0,0
-1,-1.5,-0.7,-1.0,0
-1,-1.5,-0.7,-1.0,-1
-1,-1.5,-0.7,-0.9798772457126972,-1
-1,-1.5,-0.7,-1.0,0
-1,-1.5,-0.7,-0.8996147985057689,-1
-1,-1.5,-0.7,-0.9999999999999863,0
-1,-1.5,-0.3,-0.9404708565940687,-1
0,-1.5,0.10000000000000003,-0.9281345502913126,-1
0,-1.5,-0.3,-0.9597070305177129,0
0,-1.5,-0.7,-0.9199628244750667,-1
0,-1.5,-0.3,-0.9777360885311938,0
0,-1.5,-1.5,-0.8629004433201966,-1
0,-1.5,-1.5,-0.8529104591546539,-1
0,-1.5,-1.5,-0.8506735436415366,0
0,-1.5,-1.5,-0.8065359590142175,-1
1,-0.65,-1.5,-0.763529179624602,-1
1,-0.65,-0.3,-0.8004894293977353,0
1,-0.65,-1.5,-0.8210312582060602,0
1,-0.65,-1.5,-0.8149444790760993,0
1,-0.65,-1.5,-0.8346526833107625,0
1,-0.65,-1.5,-0.9783971203950819,0
1,-0.65,-1.5,-1.0,0
1,-0.65,-1.5,-0.9597858892781241,0
0,-0.65,-0.7,-1.0,1
0,-1.5,-1.5,-1.0000000000000118,1
0,-1.5,-1.5,-0.9572643301763053,1
0,-1.5,-1.5,-0.8964834143428886,1
0,-1.5,-1.5,-0.9618560378489377,1
0,-1.5,-1.5,-1.0,1
0,-1.5,-0.7,-0.8606872968926798,1
0,-1.5,-0.7,-0.8621925438061938,1
0,-1.5,-0.7,-1.0,1
0,-1.5,-0.7,-1.0,1
0,-1.5,-0.7,-0.9798519055718916,1
0,-1.5,-0.7,-1.0000000000000113,1
0,-1.5,-0.7,-1.0,1
0,-1.5,-0.7,-0.9715669328221284,1
